,File name,Name,text_clean,tag,nationality
0,Aaron_Ben-Ze'ev.txt,Aaron Ben-Ze'ev,israeli president university haifa 2004 2012,"['university', 'president']",israeli
1,Abd_al-Latif_al-Baghdadi.txt,Abd al-Latif al-Baghdadi,short physician historian grammarian traveler voluminous writer near east time,[],arabic
2,Abdolkarim_Soroush.txt,Abdolkarim Soroush,iranian islamic thinker reformer rumi scholar public intellectual professor university tehran imam khomeini international university arguably influential figure religious intellectual movement iran soroush currently visiting scholar university maryland college park maryland affiliated institution including harvard princeton yale columbia leidenbased international institute visiting professor study islam modern world wissenschaftskolleg berlin named time magazine world 100 influential people 2005 prospect magazine influential intellectual world 2008 soroushs idea founded relativism prompted supporter critic compare role reforming islam martin luther reforming christianity,"['university', 'professor', 'scholar', 'influential', 'figure', 'time', 'modern', 'study', 'intellectual', 'world', 'movement', 'college', 'religious', 'including', 'founded', 'role', 'public']",iranian
3,Abdullah_Laroui.txt,Abdullah Laroui,moroccan historian novelist work philosophical project written read discussed arab moroccan,"['philosophical', 'written']",arab
4,Abdullah_al-Qasemi.txt,Abdullah al-Qasemi,saudi arabian 20thcentury writer intellectual controversial intellectual arab world radical change defending salafism defending atheism rejecting organized religion questioned existence god criticized religion resulted allegation atheist book banned arab world,"['writer', 'world', 'god']",arab
5,Abhinavagupta.txt,Abhinavagupta,mystic aesthetician kashmir considered influential musician poet dramatist exegete theologian logician – polymathic personality exercised strong influence indian culture,"['influential', 'considered', 'logician', '–', 'indian']",indian
6,Abner_of_Burgos.txt,Abner of Burgos,convert christianity polemical writer religion known conversion,"['known', 'writer']",jewish
7,Abraham_Cohen_de_Herrera.txt,Abraham Cohen de Herrera,known religious cabbalist supposed historian heinrich graetz born 1570 widely supposed descended marrano family place birth unknown lisbon portugal source link italy specifically tuscany son chief rabbi córdoba spain,"['known', 'born', 'historian', 'religious', 'widely']",italy
8,Abraham_Joshua_Heschel.txt,Abraham Joshua Heschel,polishborn rabbi leading theologian 20th century heschel professor mysticism theological seminary america authored number widely read book leader civil right movement,"['professor', 'leading', 'widely', '20th', 'number', 'leader']",american
9,Abraham_Tucker.txt,Abraham Tucker,country gentleman devoted study wrote light nature pursued,"['study', 'wrote', 'nature']",english
10,Abraham_bar_Hiyya_Ha-Nasi.txt,Abraham bar Hiyya Ha-Nasi,,[],
11,Abraham_ben_Moses_Maimonides.txt,Abraham ben Moses Maimonides,son maimonides succeeded father nagid egyptian community,['father'],egyptian
12,Abraham_ibn_Ezra.txt,Abraham ibn Ezra,distinguished biblical commentator middle age born tudela northern spain,['born'],jewish
13,Abu_Bakr_Muhammad_ibn_Zakariyya_al-Razi.txt,Abu Bakr Muhammad ibn Zakariyya al-Razi,latinized 864 865 – 925 ornbsp935nbspce persian physician alchemist widely considered important figure history medicine wrote logic astronomy grammar,"['history', 'considered', 'important', 'wrote', 'widely', '–']",persian
