Name,Birth/death dates,File name
Aaron Ben-Ze'ev,born 1949,Aaron_Ben-Ze'ev.txt
Abd al-Latif al-Baghdadi,1162-1231,Abd_al-Latif_al-Baghdadi.txt
Abdolkarim Soroush,born 1945,Abdolkarim_Soroush.txt
Abdullah Laroui,born 1935,Abdullah_Laroui.txt
Abdullah al-Qasemi,1907–1996,Abdullah_al-Qasemi.txt
Abhinavagupta,fl. c. 975–1025,Abhinavagupta.txt
Abner of Burgos,c. 1270 – c. 1347,Abner_of_Burgos.txt
Abraham Cohen de Herrera,1562–1635,Abraham_Cohen_de_Herrera.txt
Abraham Joshua Heschel,1907–1972,Abraham_Joshua_Heschel.txt
Abraham Tucker,1705–1774,Abraham_Tucker.txt
Abraham bar Hiyya Ha-Nasi,1070–1136,Abraham_bar_Hiyya_Ha-Nasi.txt
Abraham ben Moses Maimonides,1186–1237,Abraham_ben_Moses_Maimonides.txt
Abraham ibn Ezra,1092/3–1167,Abraham_ibn_Ezra.txt
Abu Bakr Muhammad ibn Zakariyya al-Razi,865–925,Abu_Bakr_Muhammad_ibn_Zakariyya_al-Razi.txt
Abu Sulayman Muhammad al-Sijistani,c. 932 – c. 1000,Abu_Sulayman_Muhammad_al-Sijistani.txt
Abu'l Hasan Muhammad Ibn Yusuf al-'Amiri,died 992,Abu'l_Hasan_Muhammad_Ibn_Yusuf_al-'Amiri.txt
Adam Ferguson,1723–1816,Adam_Ferguson.txt
Adam Smith,1723–1790,Adam_Smith.txt
Adam de Wodeham,1298–1358,Adam_de_Wodeham.txt
Adelard of Bath,12th century,Adelard_of_Bath.txt
Adi Shankara,788–820,Adi_Shankara.txt
Adolf Grunbaum,1923–2018,Adolf_Grunbaum.txt
Adolf Reinach,1883–1917,Adolf_Reinach.txt
Adolf von Harnack,1851–1930,Adolf_von_Harnack.txt
Adolfo Sánchez Vázquez,1915–2011,Adolfo_Sánchez_Vázquez.txt
Aenesidemus,1st century BC,Aenesidemus.txt
Afrikan Spir,1837–1890,Afrikan_Spir.txt
Agostino Nifo,1470–1538,Agostino_Nifo.txt
Agrippa the Sceptic,1st/2nd century,Agrippa_the_Sceptic.txt
Akos Pauler,1876–1933,Akos_Pauler.txt
Aksapada Gautama,c. 2nd century BC,Aksapada_Gautama.txt
Al-Farabi,870–950,Al-Farabi.txt
Al-Ghazali,1058–1111,Al-Ghazali.txt
Al-Juwayni,1028–1085,Al-Juwayni.txt
Al-Kindi,801–873,Al-Kindi.txt
Alain Badiou,born 1937,Alain_Badiou.txt
Alain LeRoy Locke,1885–1954,Alain_LeRoy_Locke.txt
Alan Gewirth,1912–2004,Alan_Gewirth.txt
Alan R. White,1922–1992,Alan_R._White.txt
Alan Ross Anderson,1925–1973,Alan_Ross_Anderson.txt
Alan Turing,1912–1954,Alan_Turing.txt
Alan Watts,1915–1973,Alan_Watts.txt
Alasdair MacIntyre,born 1929,Alasdair_MacIntyre.txt
Alastair Hannay,born 1932,Alastair_Hannay.txt
Albert Camus,1913–1960,Albert_Camus.txt
Albert Einstein,1879–1955,Albert_Einstein.txt
Albert Schweitzer,1875–1965,Albert_Schweitzer.txt
Albert Venn Dicey,1835–1922,Albert_Venn_Dicey.txt
Albert of Saxony (philosopher),c. 1316–1390,Albert_of_Saxony_(philosopher).txt
Albertus Magnus,1193?–1280,Albertus_Magnus.txt
Alcinous (philosopher),2nd century,Alcinous_(philosopher).txt
Alcmaeon of Croton,5th century BC,Alcmaeon_of_Croton.txt
Alejandro Deustua,1849–1945,Alejandro_Deustua.txt
Alejandro Korn,1860–1936,Alejandro_Korn.txt
Aleksei Losev,1893–1988,Aleksei_Losev.txt
Aleksei N. Leontiev,1903–1979,Aleksei_N._Leontiev.txt
Aleksey Khomyakov,1804–1860,Aleksey_Khomyakov.txt
Alexander Bain (philosopher),1818–1903,Alexander_Bain_(philosopher).txt
Alexander Bogdanov,1873–1928,Alexander_Bogdanov.txt
Alexander Bryan Johnson,1786–1867,Alexander_Bryan_Johnson.txt
Alexander Crummell,1819–1898,Alexander_Crummell.txt
Alexander Gerard,1728–1795,Alexander_Gerard.txt
Alexander Gottlieb Baumgarten,1714–1762,Alexander_Gottlieb_Baumgarten.txt
Alexander Herzen,1812–1870,Alexander_Herzen.txt
Alexander Neckam,1157–1217,Alexander_Neckam.txt
Alexander Pfänder,1870–1941,Alexander_Pfänder.txt
Alexander Pope,1688–1744,Alexander_Pope.txt
Alexander of Aphrodisias,2nd century,Alexander_of_Aphrodisias.txt
Alexander of Hales,died 1245,Alexander_of_Hales.txt
Alexandre Kojève,1902–1968,Alexandre_Kojève.txt
Alexandre Koyre,1892–1964,Alexandre_Koyre.txt
Alexis de Tocqueville,1805–1859,Alexis_de_Tocqueville.txt
Alexius Meinong,1853–1920,Alexius_Meinong.txt
Alf Niels Christian Ross,1899–1979,Alf_Niels_Christian_Ross.txt
