Name,Birth/death dates,File name,Category,Field
Aaron Ben-Ze'ev,born 1949,Aaron_Ben-Ze'ev.txt,University of Chicago alumni,
Abd al-Latif al-Baghdadi,1162-1231,Abd_al-Latif_al-Baghdadi.txt,Physicians of medieval Islam,
Abdolkarim Soroush,born 1945,Abdolkarim_Soroush.txt,Social philosophers,
Abdullah Laroui,born 1935,Abdullah_Laroui.txt,1933 births,
Abdullah al-Qasemi,1907–1996,Abdullah_al-Qasemi.txt,20th-century atheists,
Abhinavagupta,fl. c. 975–1025,Abhinavagupta.txt,Year of birth unknown,
Abner of Burgos,c. 1270 – c. 1347,Abner_of_Burgos.txt,14th-century philosophers,
Abraham Cohen de Herrera,1562–1635,Abraham_Cohen_de_Herrera.txt,Jewish philosophers,
Abraham Joshua Heschel,1907–1972,Abraham_Joshua_Heschel.txt,20th-century American philosophers,Philosophers of religion
Abraham Tucker,1705–1774,Abraham_Tucker.txt,English philosophers,
Abraham bar Hiyya Ha-Nasi,1070–1136,Abraham_bar_Hiyya_Ha-Nasi.txt,Neoplatonists,
Abraham ben Moses Maimonides,1186–1237,Abraham_ben_Moses_Maimonides.txt,Physicians of medieval Islam,
Abraham ibn Ezra,1092/3–1167,Abraham_ibn_Ezra.txt,Philosophers of Judaism,Philosophers of Judaism
Abu Bakr Muhammad ibn Zakariyya al-Razi,865–925,Abu_Bakr_Muhammad_ibn_Zakariyya_al-Razi.txt,Critics of religions,
Abu Sulayman Muhammad al-Sijistani,c. 932 – c. 1000,Abu_Sulayman_Muhammad_al-Sijistani.txt,Islamic philosophers,
Abu'l Hasan Muhammad Ibn Yusuf al-'Amiri,died 992,Abu'l_Hasan_Muhammad_Ibn_Yusuf_al-'Amiri.txt,Philosophers of religion,Philosophers of religion
Adam Ferguson,1723–1816,Adam_Ferguson.txt,Moral philosophers,Philosophers of culture
Adam Smith,1723–1790,Adam_Smith.txt,Moral philosophers,Philosophers of ethics and morality
Adam de Wodeham,1298–1358,Adam_de_Wodeham.txt,Scholastic philosophers,
Adelard of Bath,12th century,Adelard_of_Bath.txt,Catholic philosophers,
Adi Shankara,788–820,Adi_Shankara.txt,Epistemologists,Philosophers of mind
Adolf Grunbaum,1923–2018,Adolf_Grunbaum.txt,Philosophers of science,Philosophers of science
Adolf Reinach,1883–1917,Adolf_Reinach.txt,Philosophers of language,Philosophers of language
Adolf von Harnack,1851–1930,Adolf_von_Harnack.txt,German male non-fiction writers,
Adolfo Sánchez Vázquez,1915–2011,Adolfo_Sánchez_Vázquez.txt,Marxist theorists,
Aenesidemus,1st century BC,Aenesidemus.txt,Epistemologists,
Afrikan Spir,1837–1890,Afrikan_Spir.txt,Epistemologists,
Agostino Nifo,1470–1538,Agostino_Nifo.txt,University of Pisa faculty,
Agrippa the Sceptic,1st/2nd century,Agrippa_the_Sceptic.txt,Epistemologists,
Akos Pauler,1876–1933,Akos_Pauler.txt,Hungarian philosophers,
Aksapada Gautama,c. 2nd century BC,Aksapada_Gautama.txt,,
Al-Farabi,870–950,Al-Farabi.txt,Epistemologists,Philosophers of mind
Al-Ghazali,1058–1111,Al-Ghazali.txt,Epistemologists,
Al-Juwayni,1028–1085,Al-Juwayni.txt,Asharis,
Al-Kindi,801–873,Al-Kindi.txt,Founders of philosophical traditions,
Alain Badiou,born 1937,Alain_Badiou.txt,Continental philosophers,Philosophers of mathematics
Alain LeRoy Locke,1885–1954,Alain_LeRoy_Locke.txt,20th-century American philosophers,
Alan Gewirth,1912–2004,Alan_Gewirth.txt,Philosophers of ethics and morality,Philosophers of ethics and morality
Alan R. White,1922–1992,Alan_R._White.txt,Ordinary language philosophy,
Alan Ross Anderson,1925–1973,Alan_Ross_Anderson.txt,20th-century American philosophers,
Alan Turing,1912–1954,Alan_Turing.txt,Fellows of the Royal Society,
Alan Watts,1915–1973,Alan_Watts.txt,Metaphysicians,
Alasdair MacIntyre,born 1929,Alasdair_MacIntyre.txt,Epistemologists,Philosophers of mind
Alastair Hannay,born 1932,Alastair_Hannay.txt,Philosophers of mind,Philosophers of mind
Albert Camus,1913–1960,Albert_Camus.txt,Continental philosophers,
Albert Einstein,1879–1955,Albert_Einstein.txt,Philosophers of science,Philosophers of science
Albert Schweitzer,1875–1965,Albert_Schweitzer.txt,German male non-fiction writers,
Albert Venn Dicey,1835–1922,Albert_Venn_Dicey.txt,Fellows of the British Academy,
Albert of Saxony (philosopher),c. 1316–1390,Albert_of_Saxony_(philosopher).txt,Catholic philosophers,
Albertus Magnus,1193?–1280,Albertus_Magnus.txt,Catholic philosophers,
Alcinous (philosopher),2nd century,Alcinous_(philosopher).txt,Roman-era philosophers,
Alcmaeon of Croton,5th century BC,Alcmaeon_of_Croton.txt,5th-century BC philosophers,
Alejandro Deustua,1849–1945,Alejandro_Deustua.txt,1945 deaths,
Alejandro Korn,1860–1936,Alejandro_Korn.txt,1936 deaths,
Aleksei Losev,1893–1988,Aleksei_Losev.txt,Philosophers of religion,Philosophers of religion
Aleksei N. Leontiev,1903–1979,Aleksei_N._Leontiev.txt,20th-century psychologists,
Aleksey Khomyakov,1804–1860,Aleksey_Khomyakov.txt,19th-century male writers,
Alexander Bain (philosopher),1818–1903,Alexander_Bain_(philosopher).txt,Scottish philosophers,
Alexander Bogdanov,1873–1928,Alexander_Bogdanov.txt,Marxist theorists,Philosophers of the Russian Empire
Alexander Bryan Johnson,1786–1867,Alexander_Bryan_Johnson.txt,English philosophers,
Alexander Crummell,1819–1898,Alexander_Crummell.txt,Anglican saints,
Alexander Gerard,1728–1795,Alexander_Gerard.txt,Enlightenment philosophers,
Alexander Gottlieb Baumgarten,1714–1762,Alexander_Gottlieb_Baumgarten.txt,Philosophers of art,Philosophers of art
