Name,Birth/death dates,File name,century
Aaron Ben-Ze'ev,born 1949,Aaron_Ben-Ze'ev.txt,20
Abd al-Latif al-Baghdadi,1162-1231,Abd_al-Latif_al-Baghdadi.txt,12
Abdolkarim Soroush,born 1945,Abdolkarim_Soroush.txt,20
Abdullah Laroui,born 1935,Abdullah_Laroui.txt,20
Abdullah al-Qasemi,1907–1996,Abdullah_al-Qasemi.txt,20
Abhinavagupta,fl. c. 975–1025,Abhinavagupta.txt,11
Abner of Burgos,c. 1270 – c. 1347,Abner_of_Burgos.txt,14
Abraham Cohen de Herrera,1562–1635,Abraham_Cohen_de_Herrera.txt,16
Abraham Joshua Heschel,1907–1972,Abraham_Joshua_Heschel.txt,20
Abraham Tucker,1705–1774,Abraham_Tucker.txt,18
Abraham bar Hiyya Ha-Nasi,1070–1136,Abraham_bar_Hiyya_Ha-Nasi.txt,12
Abraham ben Moses Maimonides,1186–1237,Abraham_ben_Moses_Maimonides.txt,13
Abraham ibn Ezra,1092/3–1167,Abraham_ibn_Ezra.txt,12
Abu Bakr Muhammad ibn Zakariyya al-Razi,865–925,Abu_Bakr_Muhammad_ibn_Zakariyya_al-Razi.txt,9
Abu Sulayman Muhammad al-Sijistani,c. 932 – c. 1000,Abu_Sulayman_Muhammad_al-Sijistani.txt,10
Abu'l Hasan Muhammad Ibn Yusuf al-'Amiri,died 992,Abu'l_Hasan_Muhammad_Ibn_Yusuf_al-'Amiri.txt,10
Adam Ferguson,1723–1816,Adam_Ferguson.txt,18
Adam Smith,1723–1790,Adam_Smith.txt,18
Adam de Wodeham,1298–1358,Adam_de_Wodeham.txt,14
Adelard of Bath,12th century,Adelard_of_Bath.txt,12
Adi Shankara,788–820,Adi_Shankara.txt,9
Adolf Grunbaum,1923–2018,Adolf_Grunbaum.txt,20
Adolf Reinach,1883–1917,Adolf_Reinach.txt,20
Adolf von Harnack,1851–1930,Adolf_von_Harnack.txt,19
Adolfo Sánchez Vázquez,1915–2011,Adolfo_Sánchez_Vázquez.txt,20
Aenesidemus,1st century BC,Aenesidemus.txt,-1
Afrikan Spir,1837–1890,Afrikan_Spir.txt,19
Agostino Nifo,1470–1538,Agostino_Nifo.txt,16
Agrippa the Sceptic,1st/2nd century,Agrippa_the_Sceptic.txt,2
Akos Pauler,1876–1933,Akos_Pauler.txt,20
Aksapada Gautama,c. 2nd century BC,Aksapada_Gautama.txt,-2
Al-Farabi,870–950,Al-Farabi.txt,10
Al-Ghazali,1058–1111,Al-Ghazali.txt,11
Al-Juwayni,1028–1085,Al-Juwayni.txt,11
Al-Kindi,801–873,Al-Kindi.txt,9
Alain Badiou,born 1937,Alain_Badiou.txt,20
Alain LeRoy Locke,1885–1954,Alain_LeRoy_Locke.txt,20
Alan Gewirth,1912–2004,Alan_Gewirth.txt,20
Alan R. White,1922–1992,Alan_R._White.txt,20
Alan Ross Anderson,1925–1973,Alan_Ross_Anderson.txt,20
Alan Turing,1912–1954,Alan_Turing.txt,20
Alan Watts,1915–1973,Alan_Watts.txt,20
Alasdair MacIntyre,born 1929,Alasdair_MacIntyre.txt,20
Alastair Hannay,born 1932,Alastair_Hannay.txt,20
Albert Camus,1913–1960,Albert_Camus.txt,20
Albert Einstein,1879–1955,Albert_Einstein.txt,20
Albert Schweitzer,1875–1965,Albert_Schweitzer.txt,20
Albert Venn Dicey,1835–1922,Albert_Venn_Dicey.txt,19
Albert of Saxony (philosopher),c. 1316–1390,Albert_of_Saxony_(philosopher).txt,14
Albertus Magnus,1193?–1280,Albertus_Magnus.txt,13
Alcinous (philosopher),2nd century,Alcinous_(philosopher).txt,2
Alcmaeon of Croton,5th century BC,Alcmaeon_of_Croton.txt,-5
Alejandro Deustua,1849–1945,Alejandro_Deustua.txt,19
Alejandro Korn,1860–1936,Alejandro_Korn.txt,19
Aleksei Losev,1893–1988,Aleksei_Losev.txt,20
Aleksei N. Leontiev,1903–1979,Aleksei_N._Leontiev.txt,20
Aleksey Khomyakov,1804–1860,Aleksey_Khomyakov.txt,19
Alexander Bain (philosopher),1818–1903,Alexander_Bain_(philosopher).txt,19
Alexander Bogdanov,1873–1928,Alexander_Bogdanov.txt,20
Alexander Bryan Johnson,1786–1867,Alexander_Bryan_Johnson.txt,19
Alexander Crummell,1819–1898,Alexander_Crummell.txt,19
Alexander Gerard,1728–1795,Alexander_Gerard.txt,18
Alexander Gottlieb Baumgarten,1714–1762,Alexander_Gottlieb_Baumgarten.txt,18
Alexander Herzen,1812–1870,Alexander_Herzen.txt,19
Alexander Neckam,1157–1217,Alexander_Neckam.txt,12
Alexander Pfänder,1870–1941,Alexander_Pfänder.txt,20
Alexander Pope,1688–1744,Alexander_Pope.txt,18
Alexander of Aphrodisias,2nd century,Alexander_of_Aphrodisias.txt,2
Alexander of Hales,died 1245,Alexander_of_Hales.txt,13
Alexandre Kojève,1902–1968,Alexandre_Kojève.txt,20
Alexandre Koyre,1892–1964,Alexandre_Koyre.txt,20
Alexis de Tocqueville,1805–1859,Alexis_de_Tocqueville.txt,19
