,philosopher,text,preprocess_text,text_clean,tag
0,Aaron_Ben-Ze'ev.txt,"[(""Aaron Ben-Ze'ev"", "" ('''אהרון בן-זאב'''; born 30 July 1949) is an Israeli philosopher. He was President of the [[University of Haifa]] from 2004 to 2012."")]"," is an israeli philosopher. he was president of the university of haifa from 2004 to 2012.""",israeli philosopher president university haifa 2004 2012,"['university', 'president']"
1,Abd_al-Latif_al-Baghdadi.txt,"[('ʿAbd al-Laṭīf al-Baghdādī', "" ({{lang-ar|عبداللطيف البغدادي}}, 1162 [[Baghdad]]–1231 Baghdad), short for '''Muwaffaq al-Dīn Muḥammad ʿAbd al-Laṭīf ibn Yūsuf al-Baghdādī''' ({{lang-ar|موفق الدين محمد عبد اللطيف بن يوسف البغدادي}}), was a [[Islamic medicine|physician]], philosopher, [[Historiography of early Islam|historian]], [[Arabic grammar]]ian and traveler, and one of the most voluminous writers in the [[Near East]] of his time.<ref>[[Chambers Biographical Dictionary]], {{ISBN|0-550-18022-2}}, page 3</ref>"")]",", short for  , was a physician, philosopher, historian, arabic grammarian and traveler, and one of the most voluminous writers in the near east of his time.""",short physician philosopher historian arabic grammarian traveler voluminous writer near east time,[]
2,Abdolkarim_Soroush.txt,"[('Abdolkarim Soroush', "" ({{lang|fa|عبدالكريم سروش}} {{pronunciation|Abdolkarim Soroush from Iran pronunciation.ogg|listen|(}} {{IPA-fa|æbdolkæriːm soruːʃ}}; born '''Hossein Haj Faraj Dabbagh''' (born 1945; {{lang-fa|حسين حاج فرج دباغ}}), is an [[Iran]]ian Islamic thinker, reformer, [[Rumi]] scholar, public intellectual, and a former professor of philosophy at the [[University of Tehran]] and [[Imam Khomeini International University]].<ref>[http://www.iran-newspaper.com/1383/831117/html/horizon.htm Iran Newspaper<!-- Bot generated title -->] {{webarchive |url=https://web.archive.org/web/20090622101917/http://www.iran-newspaper.com/1383/831117/html/horizon.htm |date=June 22, 2009 }}</ref> He is arguably the most influential figure in the [[Religious intellectualism in Iran|religious intellectual movement]] of Iran. Soroush is currently a visiting scholar at the [[University of Maryland]] in College Park, Maryland. He was also affiliated with other institutions, including Harvard, Princeton, Yale, Columbia, the Leiden-based International Institute as a visiting professor<ref>{{Cite web|url=https://www.loc.gov/today/pr/2009/09-184.html|title=Iranian Philosopher Abdolkarim Soroush Named Distinguished Visiting Scholar at John W. Kluge Center}}</ref> for the Study of Islam in the Modern World (ISIM) and the Wissenschaftskolleg in Berlin. He was named by ''[[Time (magazine)|Time]]'' magazine as one of the world's 100 most influential people in 2005, and by ''[[Prospect (magazine)|Prospect]]'' magazine as one of the most influential intellectuals in the world in 2008.<ref>[https://www.loc.gov/today/pr/2009/09-184.html Library of Congress]</ref> Soroush's ideas, founded on [[relativism]], prompted both supporters and critics to compare his role in reforming Islam to that of [[Martin Luther]] in reforming Christianity.<ref>[https://books.google.com/books?id=E6H6GAzdrXcC&pg=PA297&dq=Soroush+Luther&hl=en&ei=3pwYTaLkGYTwsgaI2OSFDQ&sa=X&oi=book_result&ct=result&resnum=4&ved=0CDEQ6AEwAw#v=onepage&q=Soroush%20Luther&f=false Middle East Contemporary Survey&nbsp;... - Google Books<!-- Bot generated title -->]</ref><ref>[https://books.google.com/books?id=yU3uAAAAMAAJ&q=Soroush+Luther&dq=Soroush+Luther&hl=en&ei=3pwYTaLkGYTwsgaI2OSFDQ&sa=X&oi=book_result&ct=result&resnum=1&ved=0CCMQ6AEwAA An introduction to Islam - Google Books<!-- Bot generated title -->]</ref>"")]",", is an iranian islamic thinker, reformer, rumi scholar, public intellectual, and a former professor of philosophy at the university of tehran and imam khomeini international university. he is arguably the most influential figure in the religious intellectual movement of iran. soroush is currently a visiting scholar at the university of maryland in college park, maryland. he was also affiliated with other institutions, including harvard, princeton, yale, columbia, the leiden-based international institute as a visiting professor for the study of islam in the modern world  and the wissenschaftskolleg in berlin. he was named by time magazine as one of the worlds 100 most influential people in 2005, and by prospect magazine as one of the most influential intellectuals in the world in 2008. soroushs ideas, founded on relativism, prompted both supporters and critics to compare his role in reforming islam to that of martin luther in reforming christianity.""",iranian islamic thinker reformer rumi scholar public intellectual professor philosophy university tehran imam khomeini international university arguably influential figure religious intellectual movement iran soroush currently visiting scholar university maryland college park maryland affiliated institution including harvard princeton yale columbia leidenbased international institute visiting professor study islam modern world wissenschaftskolleg berlin named time magazine world 100 influential people 2005 prospect magazine influential intellectual world 2008 soroushs idea founded relativism prompted supporter critic compare role reforming islam martin luther reforming christianity,"['university', 'professor', 'scholar', 'influential', 'figure', 'time', 'modern', 'study', 'intellectual', 'world', 'movement', 'college', 'religious', 'including', 'founded', 'role', 'public']"
3,Abdullah_Laroui.txt,"[('Abdallah Laroui', "" ({{lang-ar|عبدالله العروي}}; born 7 November 1933) is a [[Morocco|Moroccan]] philosopher, historian, and novelist. Besides some works in French, his philosophical project has been written mostly in Arabic. He is among the most read and discussed Arab and Moroccan philosophers.<ref>Jean Jacques Waardenburg, ''Islam: historical, social, and political perspectives'', Walter de Gruyter, 2002, p.145-147</ref><ref>Youssef M. Choueiri, ''Arab history and the nation-state: a study in modern Arab historiography'', Routledge, 1989, p.165</ref>"")]"," is a moroccan philosopher, historian, and novelist. besides some works in french, his philosophical project has been written mostly in arabic. he is among the most read and discussed arab and moroccan philosophers.""",moroccan philosopher historian novelist work french philosophical project written arabic read discussed arab moroccan philosopher,"['philosophical', 'written']"
4,Abdullah_al-Qasemi.txt,"[('Abdullah al-Qasemi', '  (1907 – 9 January 1996) ({{lang-ar|عبدالله القصيمي}}) was a [[Saudi Arabia]]n 20th-century writer and [[intellectual]]. He is one of the most controversial intellectuals in the Arab world because of his radical change from defending [[Salafism]] to defending atheism and rejecting organized religion. He questioned the existence of God and criticized [[religion]]s, which resulted in the allegations of him becoming an [[atheism|atheist]], therefore his books were banned all over the [[Arab world]].<ref>{{cite news |title=Meet the accused Arab agnostic who went his own way in the 1940s |url=http://english.alarabiya.net/en/variety/2016/10/22/Meet-the-Arab-agnostic-who-went-his-own-way-in-the-1940s.html |work=english.alarabiya.net |language=en}}</ref>')]","  was a saudi arabian 20th-century writer and intellectual. he is one of the most controversial intellectuals in the arab world because of his radical change from defending salafism to defending atheism and rejecting organized religion. he questioned the existence of god and criticized religions, which resulted in the allegations of him becoming an atheist, therefore his books were banned all over the arab world.",saudi arabian 20thcentury writer intellectual controversial intellectual arab world radical change defending salafism defending atheism rejecting organized religion questioned existence god criticized religion resulted allegation atheist book banned arab world,"['writer', 'world', 'god']"
5,Abhinavagupta.txt,"[('Abhinavagupta', ' (c. 950 – 1016 [[Common Era|CE]]<ref>Triadic Heart of Shiva, Paul E. Muller-Ortega, page 12</ref><ref name=""Introduction"">{{cite book|author=Rastogi|first=Navjivan|title=Introduction to the Tantraloka: A Study in Structure|work=|publisher=[[Motilal Banarsidass]]|year=1987|isbn=9788120801806|location=Delhi}}</ref>{{rp|27}}) was a [[Indian philosophy|philosopher]], [[Mysticism|mystic]] and [[Aesthetics|aesthetician]] from [[Kashmir]].<ref>{{cite web |title=Abhinavagupta – the Philosopher |url=http://www.koausa.org/Glimpses/abhinava.html |access-date=30 May 2012 |archive-date=20 July 2017 |archive-url=https://web.archive.org/web/20170720194646/http://www.koausa.org/Glimpses/abhinava.html |url-status=dead }}</ref> He was also considered an influential [[Music of India|musician]], [[Indian poetry|poet]], [[Theatre in India|dramatist]], [[exegesis|exegete]], [[Theology|theologian]], and [[Indian logic|logician]]<ref name=""Re-accessing Abhinavagupta page 4"">Re-accessing Abhinavagupta, Navjivan Rastogi, page 4</ref><ref>Key to the Vedas, Nathalia Mikhailova, page 169</ref> – a [[polymath]]ic personality who exercised strong influences on [[Indian culture]].<ref>The Pratyabhijñā Philosophy, Ganesh Vasudeo Tagare, page 12</ref><ref>Companion to Tantra, S.C. Banerji, page 89</ref>')]"," was a philosopher, mystic and aesthetician from kashmir. he was also considered an influential musician, poet, dramatist, exegete, theologian, and logician – a polymathic personality who exercised strong influences on indian culture.",philosopher mystic aesthetician kashmir considered influential musician poet dramatist exegete theologian logician – polymathic personality exercised strong influence indian culture,"['influential', 'considered', 'logician', '–', 'indian']"
6,Abner_of_Burgos.txt,"[('Abner of Burgos', "" (c. 1270 – c. 1347, or a little later) was a Jewish philosopher, a convert to Christianity and [[polemical]] writer against his former religion. Known after his conversion as '''Alfonso of Valladolid'''."")]"," was a jewish philosopher, a convert to christianity and polemical writer against his former religion. known after his conversion as .""",jewish philosopher convert christianity polemical writer religion known conversion,"['known', 'writer', 'jewish']"
7,Abraham_Cohen_de_Herrera.txt,"[('Abraham Cohen de Herrera', "" ({{lang-he|רבי אברהם כהן בן דוד דה-הירירה}}), also known as '''Alonso Nunez de Herrera''' or '''Abraham Irira''' (c. 1570 – c. 1635), was a [[Philosophy of religion|religious philosopher]] and [[Kabbalah|cabbalist]]. He is supposed by the historian [[Heinrich Graetz]] to have been born in 1570. He is widely supposed to have been descended from a [[Marrano]] family: place of birth is unknown but may (according to Barbosa Machado the [[List of biographers|biographer]]) have been [[Lisbon]], [[Portugal]]. Other sources link him to [[Italy]], specifically [[Tuscany]], and as the son of the last Chief Rabbi of [[Córdoba, Spain|Córdoba]] in [[Spain]]."")]",", also known as  or  , was a religious philosopher and cabbalist. he is supposed by the historian heinrich graetz to have been born in 1570. he is widely supposed to have been descended from a marrano family: place of birth is unknown but may  have been lisbon, portugal. other sources link him to italy, specifically tuscany, and as the son of the last chief rabbi of córdoba in spain.""",known religious philosopher cabbalist supposed historian heinrich graetz born 1570 widely supposed descended marrano family place birth unknown lisbon portugal source link italy specifically tuscany son chief rabbi córdoba spain,"['known', 'born', 'historian', 'religious', 'widely']"
8,Abraham_Joshua_Heschel.txt,"[('Abraham Joshua Heschel', ' (January 11, 1907&nbsp;– December 23, 1972) was a Polish-born American [[rabbi]] and one of the leading [[Judaism|Jewish]] theologians and Jewish philosophers of the 20th century. Heschel, a professor of [[Jewish mysticism]] at the [[Jewish Theological Seminary of America]], authored a number of widely read books on [[Jewish philosophy]] and was a leader in the [[civil rights movement]].<ref>[http://www.tikkun.org/nextgen/the-legacy-of-abraham-joshua-heschel ""The Legacy of Abraham Joshua Heschel.""] \'\'Tikkun\'\'. Accessed May 25, 2014.</ref><ref>[https://www.nytimes.com/2007/12/24/arts/24conn.html ""A Rabbi of His Time, With a Charisma That Transcends It.""] \'\'The New York Times\'\'. Accessed May 25, 2014.</ref>')]"," was a polish-born american rabbi and one of the leading jewish theologians and jewish philosophers of the 20th century. heschel, a professor of jewish mysticism at the jewish theological seminary of america, authored a number of widely read books on jewish philosophy and was a leader in the civil rights movement.",polishborn american rabbi leading jewish theologian jewish philosopher 20th century heschel professor jewish mysticism jewish theological seminary america authored number widely read book jewish philosophy leader civil right movement,"['american', 'professor', 'jewish', 'leading', 'widely', '20th', 'number', 'leader']"
9,Abraham_Tucker.txt,"[('Abraham Tucker', "" (2 September 1705 – 20 November 1774) was an [[England|English]] country gentleman, who devoted himself to the study of [[philosophy]]. He wrote ''The Light of Nature Pursued'' (1768–1777) under the name of '''Edward Search'''."")]"," was an english country gentleman, who devoted himself to the study of philosophy. he wrote the light of nature pursued  under the name of .""",english country gentleman devoted study philosophy wrote light nature pursued,"['english', 'study', 'wrote', 'nature']"
